lr,batch_size,Relative Error
6.5e-05,256,0.033202
6.5e-05,384,0.033404
6.5e-05,512,0.032972
6.5e-05,768,0.033017
6.5e-05,1024,0.032968
6.5e-05,1536,0.033124
6.5e-05,2048,0.033057
6.5e-05,3072,0.033185
6.5e-05,4096,0.033271
6.55e-05,256,0.033195
6.55e-05,384,0.033396
6.55e-05,512,0.03296
6.55e-05,768,0.033003
6.55e-05,1024,0.032952
6.55e-05,1536,0.033108
6.55e-05,2048,0.03304
6.55e-05,3072,0.033168
6.55e-05,4096,0.033254
6.6e-05,256,0.033187
6.6e-05,384,0.033389
6.6e-05,512,0.032948
6.6e-05,768,0.03299
6.6e-05,1024,0.032936
6.6e-05,1536,0.033092
6.6e-05,2048,0.033023
6.6e-05,3072,0.033151
6.6e-05,4096,0.033237
6.65e-05,256,0.03318
6.65e-05,384,0.033382
6.65e-05,512,0.032936
6.65e-05,768,0.032976
6.65e-05,1024,0.032921
6.65e-05,1536,0.033077
6.65e-05,2048,0.033006
6.65e-05,3072,0.033134
6.65e-05,4096,0.03322
6.7e-05,256,0.033173
6.7e-05,384,0.033376
6.7e-05,512,0.032924
6.7e-05,768,0.032963
6.7e-05,1024,0.032905
6.7e-05,1536,0.033061
6.7e-05,2048,0.032989
6.7e-05,3072,0.033117
6.7e-05,4096,0.033203
6.75e-05,256,0.033166
6.75e-05,384,0.033369
6.75e-05,512,0.032913
6.75e-05,768,0.032949
6.75e-05,1024,0.03289
6.75e-05,1536,0.033047
6.75e-05,2048,0.032972
6.75e-05,3072,0.0331
6.75e-05,4096,0.033185
6.8e-05,256,0.033159
6.8e-05,384,0.033363
6.8e-05,512,0.032902
6.8e-05,768,0.032936
6.8e-05,1024,0.032876
6.8e-05,1536,0.033032
6.8e-05,2048,0.032955
6.8e-05,3072,0.033084
6.8e-05,4096,0.033168
6.9e-05,256,0.033141
6.9e-05,384,0.033353
6.9e-05,512,0.032883
6.9e-05,768,0.032908
6.9e-05,1024,0.032849
6.9e-05,1536,0.033005
6.9e-05,2048,0.03292
6.9e-05,3072,0.033052
6.9e-05,4096,0.036zml
6.95e-05,256,0.03313
6.95e-05,384,0.033351
6.95e-05,512,0.032875
6.95e-05,768,0.032893
6.95e-05,1024,0.032839
6.95e-05,1536,0.032994
6.95e-05,2048,0.032901
6.95e-05,3072,0.033036
6.95e-05,4096,0.033112
