lr,batch_size,Relative Error
6.90E-05,512,0.031896
6.95E-05,512,0.031872
7.00E-05,512,0.031846
7.05E-05,512,0.03182
7.10E-05,512,0.031795
7.15E-05,512,0.031778
7.20E-05,512,0.031789
7.25E-05,512,0.03189
7.30E-05,512,0.032235
7.35E-05,512,0.033217
7.40E-05,512,0.035746
7.45E-05,512,0.041682
7.50E-05,512,0.053437
7.55E-05,512,0.065285
7.60E-05,512,0.002124
7.65E-05,512,0.726195
7.70E-05,512,5.844585
7.75E-05,512,38.837085
7.80E-05,512,245.564415
7.85E-05,512,1521.101729
7.90E-05,512,9246.343153
7.95E-05,512,54689.14916
8.00E-05,512,309582.7145
8.05E-05,512,1626067.648
8.10E-05,512,7380703.175
8.20E-05,512,48779826.03
8.25E-05,512,1678013932
8.30E-05,512,18773493419
8.35E-05,512,1.43E+11
6.90E-05,1024,0.032298
6.95E-05,1024,0.032277
7.00E-05,1024,0.032258
7.05E-05,1024,0.032243
7.10E-05,1024,0.032239
7.15E-05,1024,0.032259
7.20E-05,1024,0.032338
7.25E-05,1024,0.032553
7.30E-05,1024,0.033075
7.35E-05,1024,0.034253
7.40E-05,1024,0.036707
7.45E-05,1024,0.041147
7.50E-05,1024,0.046715
7.55E-05,1024,0.043508
7.60E-05,1024,0.014578
7.65E-05,1024,0.305269
7.70E-05,1024,1.567651
7.75E-05,1024,8.028178
7.80E-05,1024,51.520878
7.85E-05,1024,387.459431
7.90E-05,1024,2970.516738
7.95E-05,1024,21613.93344
8.00E-05,1024,144906.5206
8.05E-05,1024,868860.2004
8.10E-05,1024,4312846.78
8.15E-05,1024,12343889.87
8.20E-05,1024,78770508.89
8.25E-05,1024,2013090533
8.30E-05,1024,26721642490
8.35E-05,1024,2.95E+11
6.90E-05,2048,0.032328
6.95E-05,2048,0.032309
7.00E-05,2048,0.032293
7.05E-05,2048,0.032279
7.10E-05,2048,0.032274
7.15E-05,2048,0.03229
7.20E-05,2048,0.032355
7.25E-05,2048,0.03254
7.30E-05,2048,0.032998
7.35E-05,2048,0.034043
7.40E-05,2048,0.03615
7.45E-05,2048,0.039293
7.50E-05,2048,0.038599
7.55E-05,2048,0.003621
7.60E-05,2048,0.20892
7.65E-05,2048,1.197714
7.70E-05,2048,5.330953
7.75E-05,2048,22.062024
7.80E-05,2048,93.290017
7.85E-05,2048,444.431583
7.90E-05,2048,2530.314857
7.95E-05,2048,16593.69436
8.00E-05,2048,115196.6933
8.05E-05,2048,795225.3117
8.10E-05,2048,5287918.458
