lr,batch_size,Mean Squared Error,Relative Error 1,Relative Error 2,R^2
0.0001,512,8.056447264313375,0.6118656047354673,0.6118656047354673,-9.99851402400681
0.0002,512,4.051358088033698,0.38479557602471953,0.39530589844747493,-4.530839746806145
0.0003,512,2.6171598981299016,0.25160462336913647,0.30182624306737116,-2.5728986857711655
0.0004,512,2.0627315626774676,0.1731416741791222,0.2651655387341814,-1.8160032922158216
0.0005,512,1.8130883662680277,0.12659310648826738,0.24866488356032573,-1.475194979739253
0.0006,512,1.6722575992576585,0.09866558948400217,0.23932833557389147,-1.282935399907299
0.0007,512,1.573049485208498,0.08161317873392443,0.23252791980667048,-1.1474983024042529
0.0008,512,1.4920996640384658,0.07092215586492528,0.2267398958666114,-1.0369870914237982
0.0009,512,1.4210113026008142,0.06396199242130708,0.22142842693554876,-0.9399385643790039
0.001,512,1.356542028391772,0.059199322905887954,0.2164471574850204,-0.8519262938032934
0.002,512,0.9182649203810987,0.040140126824554694,0.17862270419300302,-0.2535984253632131
0.003,512,0.6909757028337168,0.02930013214510506,0.15590467874161662,0.05669264521496298
0.004,512,0.5684937053417791,0.02137943129761499,0.1429556931092601,0.22390282147598195
0.005,512,0.5018575736436071,0.015559167077220683,0.1359048710677073,0.3148732461486957
0.006,512,0.4654651951398431,0.011275070942468933,0.131992583543278,0.3645554537284068
0.007,512,0.445530139815061,0.008119375534838182,0.12974711165296035,0.39177042558457187
0.008,512,0.43457273004720404,0.005794149176362609,0.12845056183258294,0.40672928040540524
0.009,512,0.428523949417239,0.004080673768983076,0.1276862688687408,0.4149869647672828
0.01,512,0.42516632428737533,0.002818039489587639,0.1272337861526053,0.41957073300489567
0.02,512,0.42077874050196756,0.0005364526445865705,0.12644903411711356,0.42556058190629287
0.03,512,0.4207415092324766,0.0006581096452984853,0.12642796958536084,0.42561140935246033
0.04,512,0.4207432078410242,0.0006228713958587014,0.1264266335228031,0.42560909044322925
0.05,512,0.42074509912898755,0.0005827620623399601,0.12642577596105908,0.42560650849159387
0.06,512,0.42074616858028524,0.0005467093653663929,0.12642475510185777,0.42560504849629954
0.07,512,0.4207466099716199,0.0005151543952668187,0.12642364592567343,0.425604445916946
0.08,512,0.4207465935377949,0.0004875723640098495,0.12642251109019476,0.4256044683521024
0.09,512,0.4207462461806748,0.00046326124613138174,0.12642139605077546,0.4256049425576711
0.1,512,0.4207456661660567,0.00044154506853025553,0.12642030798968582,0.42560573438298843
0.2,512,0.4207382123745709,0.00028340464126135414,0.12641231781648027,0.4256159101623983
0.3,512,0.42073772787777775,0.00015735320955201964,0.12640772321276306,0.42561657158853305
0.4,512,0.4207431733476478,6.011263798501725e-05,0.1264047118653598,0.4256091375329538
0.5,512,0.42075206915617697,3.3551211823435822e-06,0.1264022950552809,0.4255969931383278
0.6,512,0.42076332920080317,3.584851421194245e-05,0.12639996244919688,0.42558162113194964
0.7,512,0.4207764569126672,4.263912327703874e-05,0.12639745808688435,0.4255636994205174
0.8,512,8.474961232299395e+61,5.421272953120795e+29,1.72672482202979e+30,-1.156986161620498e+62
0.9,512,2.161933619445407e+151,2.7426949220991e+74,8.72177103143381e+74,-2.9514321204296543e+151
0.0001,1024,8.976941722424638,0.6521059330958824,0.6521059330958824,-11.25515617338233
0.0002,1024,4.74430878985257,0.4336243869582681,0.4377430477965896,-5.476843333977864
0.0003,1024,3.02517898149623,0.29617692519367894,0.3288993426257837,-3.129918853996574
0.0004,1024,2.295699899814919,0.20947450323285166,0.28048649832989136,-2.1340473926849857
0.0005,1024,1.9583559129714767,0.15455464796614188,0.2582612013315058,-1.6735115698233458
0.0006,1024,1.7785957609453533,0.11954643587457815,0.2463995761850109,-1.4281063076583962
0.0007,1024,1.6641145665683708,0.09701864143141578,0.23877794094181018,-1.271818681049373
0.0008,1024,1.5783840090816088,0.08231935003845696,0.23290032668384827,-1.1547808965434463
0.0009,1024,1.5067739003872154,0.07253642805818362,0.22781100221939563,-1.057020089714276
0.001,1024,1.4432750368630844,0.06584674396549489,0.22311607173965636,-0.9703326060051436
0.002,1024,1.006815471126712,0.043719051477549384,0.18685904478781068,-0.37448601293835027
0.003,1024,0.7646773814928651,0.03327119435307234,0.16349357758529995,-0.04392353456394993
0.004,1024,0.6240209389965763,0.025361241670767098,0.14888305070343105,0.14809806063905506
0.005,1024,0.5413074402768568,0.01930970991430043,0.14006039034021409,0.26101701185880666
0.006,1024,0.49245729638149455,0.014672627590941525,0.13490188241870535,0.32770633223552037
0.007,1024,0.46353672303490506,0.01111687765634742,0.13176981380936326,0.36718816847166824
0.008,1024,0.4463772946617582,0.008389379893683612,0.12983531440118226,0.3906139053274138
0.009,1024,0.4361703780687599,0.006296834776246104,0.12863345764936243,0.40454820063239616
0.01,1024,0.4300800704245083,0.0046912347421537055,0.12787694351494408,0.4128625769124382
0.02,1024,0.4208251173810128,0.00024014772708253618,0.12645747117700037,0.425497269041722
0.03,1024,0.420706469609148,0.0006142664567114516,0.12640506828385753,0.42565924480348893
0.04,1024,0.4207007960801212,0.0006659816993930438,0.12640079274154367,0.42566699020124554
0.05,1024,0.4207007284998325,0.0006916183551224207,0.12640047551601732,0.425667082460616
0.06,1024,0.42070132527988274,0.0007123559862643735,0.1264010426540081,0.4256662677474382
0.07,1024,0.420702227364503,0.000730501603049279,0.1264020622767581,0.42566503623806184
0.08,1024,0.42070337950674824,0.0007469283730393976,0.12640337007967092,0.4256634633546026
0.09,1024,0.4207047492457245,0.0007621995124106923,0.12640486572329954,0.42566159341207765
0.1,1024,0.42070630892873545,0.0007766806637521038,0.12640647552531115,0.4256594641614406
0.2,1024,0.4207278682195593,0.0009029936482370367,0.1264231781659841,0.4256300318130749
0.3,1024,0.4207515588979951,0.0010097889466092473,0.12643716002849742,0.4255976897334379
0.4,1024,0.4207724004951539,0.0010991857815267822,0.12644871106362307,0.4255692371672988
0.5,1024,0.42078961289957634,0.0011723583780646547,0.1264586045378221,0.42554573910851223
0.6,1024,0.4208035196336582,0.001231807126477608,0.12646716583123507,0.4255267538902381
0.7,1024,139.0792325680296,0.6817962253619949,2.2080316023117383,-188.8684171400639
0.8,1024,1.174629601630634e+89,1.9876452412001067e+43,6.426488387621516e+43,-1.603582785649764e+89
0.9,1024,3.7064504598537306e+183,3.5277446000574895e+90,1.1414986301704689e+91,-5.059978179533465e+183
0.0001,2048,9.489363241389377,0.6733621723150639,0.6733621723150638,-11.954704631609205
0.0002,2048,5.170511478713415,0.4608254406593286,0.4629227555626222,-6.058687426878399
0.0003,2048,3.2984265036994116,0.3223350316474534,0.3468262651832134,-3.502951359067274
0.0004,2048,2.460201370562925,0.2319002706960206,0.2913279441296293,-2.35862178306249
0.0005,2048,2.0608120429659103,0.17265726451138963,0.26501479326602256,-1.8133827991157871
0.0006,2048,1.8494755224844537,0.13366444949406842,0.25104702298799214,-1.5248700579480836
0.0007,2048,1.7203162869173674,0.10782297867716917,0.24253921034914958,-1.3485442387489592
0.0008,2048,1.6284790519371206,0.09052720441699619,0.2363508643806439,-1.2231697301450928
0.0009,2048,1.5548242958066216,0.0787890040639371,0.2312457623421912,-1.1226176081415815
0.001,2048,1.4910675318478714,0.07066961247093727,0.22666331113882285,-1.0355780434898332
0.002,2048,1.056969939794455,0.045520602743762364,0.19136671112801945,-0.44295597356879357
0.003,2048,0.8086524737840202,0.035248435384463435,0.16792910882158102,-0.10395752391477386
0.004,2048,0.6590674277733364,0.027385906630658367,0.152571957180512,0.1002532370266902
0.005,2048,0.5676833754104513,0.021253994855474693,0.14286423104731885,0.2250090690341655
0.006,2048,0.5115754770480292,0.016462161173695516,0.13692663450694773,0.30160654267867804
0.007,2048,0.4770407054157398,0.012714079983386646,0.13325216262311748,0.34875277943195493
0.008,2048,0.45574350576279493,0.009780916487506145,0.1309013895855387,0.3778273257388064
0.009,2048,0.4425835767201019,0.007484825540360886,0.12939374176155133,0.3957930194723369
0.01,2048,0.43443281009474616,0.005687129605400008,0.1284221121641942,0.4069202965579174
0.02,2048,0.42093954341989753,0.00023984556559545738,0.12648981791548297,0.4253410567123792
0.03,2048,0.42073081832964615,0.0007514453275996911,0.12641206939635996,0.4256260043768989
0.04,2048,0.42071609430227247,0.0007894076277015919,0.12640525880158993,0.4256461053489833
0.05,2048,0.42071142877258055,0.000784056653897429,0.1264041804562594,0.4256524746445378
0.06,2048,0.42070808912463,0.0007741444893167813,0.12640379840328464,0.42565703387066
0.07,2048,0.42070533413735045,0.0007639665069319519,0.12640362167989172,0.42566079492875863
0.08,2048,0.4207030237630587,0.0007544497442033344,0.1264035550191648,0.4256639490093621
0.09,2048,0.4207010678342093,0.0007459529416655831,0.12640355102839376,0.4256666192075492
0.1,2048,0.42069939042127097,0.0007385967946522604,0.12640357503143745,0.4256689091809235
0.2,2048,0.42068936748542796,0.0007071853648572706,0.12640305281971853,0.42568259230908334
0.3,2048,0.42068339191141413,0.0006935371938120173,0.12640129263199415,0.42569075005311574
0.4,2048,0.42067903764509573,0.0006724381610166071,0.12639932335289403,0.42569669441762226
0.5,2048,0.42067566246908134,0.0006444533255035157,0.12639731402486282,0.42570130214600554
0.6,2048,0.42067292525466776,0.0006134362922977638,0.12639518934524746,0.4257050389409137
0.7,2048,745860572275135.9,1582735.8082069664,5120776.800902501,-1018235171780891.1
0.8,2048,4.270178559331555e+103,3.783521719297105e+50,1.2251677364083828e+51,-5.829569440348597e+103
0.9,2048,1.5867168630297054e+199,2.3043526382449268e+98,7.467750402277213e+98,-2.166156755901964e+199
0.0001,4096,9.758766157835995,0.6842615351556217,0.6842615351556217,-12.322488551423518
0.0002,4096,5.40621285894496,0.47515881144309835,0.47656811635214424,-6.380462627646791
0.0003,4096,3.4564844852516816,0.33650027581262176,0.35711484847287683,-3.718729216189139
0.0004,4096,2.558491585414346,0.24437983597608595,0.29786512379831614,-2.4928057814180145
0.0005,4096,2.1226306245740605,0.18300737873794065,0.2691001681345131,-1.8977763927750142
0.0006,4096,1.8914297490449141,0.141953947373664,0.25381618320299193,-1.5821451984725599
0.0007,4096,1.7522964874987166,0.11433174496185335,0.24465346647963523,-1.3922030219625667
0.0008,4096,1.6558553055424443,0.09559183206015466,0.2382079616332707,-1.2605432893982709
0.0009,4096,1.5803327351921785,0.08272993775214532,0.23302642803461304,-1.1574412616836725
0.001,4096,1.5160226404412838,0.07376189119082481,0.22847174698643363,-1.0696462999843597
0.002,4096,1.0832611707483786,0.04659775922781837,0.19369042441654036,-0.4788482798010958
0.003,4096,0.8322576327345008,0.03640361396722174,0.17027886383929072,-0.13618285391920204
0.004,4096,0.678346881162329,0.028589187736654035,0.15459091309379633,0.07393328090741025
0.005,4096,0.5825599340378239,0.02244235417192551,0.1444636598091367,0.20469986408015517
0.006,4096,0.5226295479724888,0.017595031917243417,0.1380986500510732,0.2865157278199282
0.007,4096,0.4850401071020402,0.013768272974382842,0.1341228209227742,0.33783214298465136
0.008,4096,0.46142209527102945,0.010745428103479103,0.13154731023746807,0.370075019505816
0.009,4096,0.44655727071097095,0.008356854261984991,0.12986786372001977,0.39036820532636995
0.01,4096,0.437183489741034,0.006469140154737802,0.1287674850421124,0.40316511916114406
0.02,4096,0.42099624937141156,2.7457255906969736e-05,0.12652000608524663,0.42526364278754236
0.03,4096,0.4207295907200056,0.0005852489494795005,0.12642455693100477,0.4256276802870619
0.04,4096,0.4207133672299703,0.0006439919102338418,0.12641482347178878,0.42564982829806686
0.05,4096,0.4207089659832607,0.0006517350726686949,0.12641235480303697,0.4256558367993418
0.06,4096,0.42070553219655177,0.0006564093084015142,0.126410682499313,0.4256605245419701
0.07,4096,0.4207023735596936,0.0006623274060523726,0.12640919843570383,0.42566483665506927
0.08,4096,0.4206995180847059,0.000669536548803829,0.12640783711536963,0.42566873489714385
0.09,4096,0.42069699023101276,0.0006776762558429858,0.12640658250236916,0.4256721858766368
0.1,4096,0.42069478053041276,0.0006863922428631865,0.12640542007824423,0.42567520251936286
0.2,4096,0.4206837132326974,0.0007644811668386065,0.12639721408631455,0.42569031139119395
0.3,4096,0.42068029999733525,0.0007996082850772425,0.12639194844566734,0.42569497107750054
0.4,4096,0.420678763977421,0.0008096825428958168,0.12638782856940436,0.4256970680237119
0.5,4096,0.4206780524758168,0.0008124571887979463,0.12638443516882678,0.4256980393526507
0.6,4096,0.42067795178036743,0.0008157471718958798,0.12638165400754814,0.42569817682023114
0.7,4096,7.70828496865325e+20,1628035080.8866453,5209585318.629291,-1.0523209244391321e+21
0.8,4096,3.249772518506246e+110,1.0578720119557404e+54,3.382741776045304e+54,-4.436529830952616e+110
0.9,4096,4.918487002386123e+206,1.3023536262946648e+102,4.1617468627762475e+102,-6.714628234738335e+206
0.0001,8192,10.404507281128248,0.7096579723900723,0.7096579723900722,-13.204042487966671
0.0002,8192,6.003068671208959,0.5094910792507209,0.5099772633276589,-7.195279234288485
0.0003,8192,3.8775052783923134,0.37135950371488274,0.3842323582140849,-4.293499080105124
0.0004,8192,2.8312350557460575,0.2759054308360387,0.3160294344374707,-2.8651501641197212
0.0005,8192,2.2980800029508424,0.20981315792146665,0.28062777679731027,-2.137296665827378
0.0006,8192,2.010043392798016,0.16392370477632187,0.2616658276862632,-1.7440743691674077
0.0007,8192,1.8401702698868367,0.13193753278639048,0.25043105363993007,-1.5121666977901689
0.0008,8192,1.7282273430258444,0.10952199555601118,0.2430597229149679,-1.3593442674339613
0.0009,8192,1.6455543152602556,0.09369729928409368,0.23750994862320296,-1.246480566418421
0.001,8192,1.5784405219385649,0.0824140995410245,0.23289591829870324,-1.1548580468591347
0.002,8192,1.1489140458103624,0.049110388904750724,0.19939323817886778,-0.568476380550184
0.003,8192,0.8930926165837357,0.03907582279965413,0.176219352634925,-0.21923365796031336
0.004,8192,0.7297315455515452,0.03142221122144959,0.1599166654161065,0.0037838796437698052
0.005,8192,0.6236145826606295,0.025269141171585605,0.1488399166777321,0.14865281085500337
0.006,8192,0.5542368401144582,0.020305909128272865,0.14143414657287437,0.24336603236741805
0.007,8192,0.5087493149007891,0.01629872747735539,0.13662766286796407,0.3054647674011589
0.008,8192,0.4788749220440029,0.013062078338131547,0.13345178877228123,0.34624874053650045
0.009,8192,0.45922712890492534,0.010447377426941032,0.13129266407789703,0.37307154732605696
0.01,9182,0.4512620237864648,0.009092579409106573,0.1303974928440062,0.38394536272805524
0.02,9182,0.42150215673406705,0.0005059851300634928,0.12663045434652978,0.42457298733601834
0.03,9182,0.4207746928273174,0.0006145252213597947,0.12643895908595434,0.42556610771747794
0.04,9182,0.42073461266786516,0.0007552699852947795,0.1264205893664162,0.4256208244159627
0.05,9182,0.42073052769790575,0.0007700307485865205,0.1264190940262416,0.4256264011420198
